MIN,FG,FGA,3P,3PA,FT,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
25,10,18,6,9,6,6,0,4,4,4,0,2,1,1,32
37,10,25,5,11,8,9,1,5,6,3,2,2,3,1,33
36,8,17,2,7,8,10,1,6,7,0,1,0,1,2,26
36,8,17,2,7,8,10,1,6,7,0,1,0,1,2,26
27,13,21,7,12,2,2,2,3,5,6,4,2,0,3,35
36,9,15,4,9,9,12,3,6,9,2,1,0,7,0,31
37,15,30,2,10,6,6,0,8,8,1,4,0,2,3,38
32,12,21,5,8,5,6,5,4,9,2,1,0,2,2,34
36,3,16,0,6,2,3,0,12,12,7,1,0,1,4,8
39,10,28,3,13,6,8,2,6,8,4,3,0,4,2,29
28,6,14,1,4,3,3,2,8,10,4,2,0,1,1,16
29,8,19,3,6,4,4,2,4,6,1,0,3,2,4,23
33,5,23,0,5,6,10,1,2,3,1,2,0,1,2,16
26,4,13,0,4,5,7,2,2,4,0,2,1,3,4,13
36,7,24,4,12,6,8,0,3,3,4,0,0,2,1,24
39,12,28,5,13,2,3,2,5,7,6,0,0,2,4,31
32,9,15,5,9,4,4,1,13,14,8,2,0,4,2,27
28,6,14,3,8,6,10,2,14,16,5,1,0,2,0,21
37,10,20,6,11,2,2,1,7,8,6,0,0,2,3,28
29,4,15,2,7,2,2,2,4,6,0,0,0,2,2,12
